"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14961","Handle Dropdowns","chromium","Fri Sep 05 14:04:32 AEST 2025","passed","Fri Sep 05 14:04:47 AEST 2025","","dropdown.spec.js","",""
"","12952","Auto Suggest Dropdown Transport NSW Test","firefox","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:45 AEST 2025","","autoSugDropdownTransportNSW.spec.js","",""
"","13496","Handle Dropdowns","webkit","Fri Sep 05 14:04:35 AEST 2025","passed","Fri Sep 05 14:04:49 AEST 2025","","dropdown.spec.js","",""
"","3741","Hidden Dropdown Test on OrangeHRM","webkit","Fri Sep 05 14:04:35 AEST 2025","passed","Fri Sep 05 14:04:38 AEST 2025","","hiddenDropdown.spec.js","",""
"","1869","Assertions Test","firefox","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:34 AEST 2025","","assertions.spec.js","",""
"","10808","Auto Suggest Dropdown Transport NSW Test","chromium","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:43 AEST 2025","","autoSugDropdownTransportNSW.spec.js","",""
"","3953","Hidden Dropdown Test on OrangeHRM","chromium","Fri Sep 05 14:04:32 AEST 2025","passed","Fri Sep 05 14:04:36 AEST 2025","","hiddenDropdown.spec.js","",""
"","1225","Assertions Test","webkit","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:34 AEST 2025","","assertions.spec.js","",""
"","1092","Assertions Test","chromium","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:34 AEST 2025","","assertions.spec.js","",""
"","17094","Handle Dropdowns","firefox","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:50 AEST 2025","","dropdown.spec.js","",""
"","4899","Hidden Dropdown Test on OrangeHRM","firefox","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:37 AEST 2025","","hiddenDropdown.spec.js","",""
"","11859","Auto Suggest Dropdown Transport NSW Test","webkit","Fri Sep 05 14:04:33 AEST 2025","passed","Fri Sep 05 14:04:44 AEST 2025","","autoSugDropdownTransportNSW.spec.js","",""
